id,seller_name,category_main,category_sub,price_ori,price_actual,item_rating,total_rating,total_sold,favorite,discount_pct,price_band,rating_bucket,sales_per_rating
9ae5b735a32d715d6e7664df9d31ddda,misclaire.os,Women Clothes,Playsuits & Jumpsuits,89.0,89.0,5.0,3.0,3.0,68.0,0.0,RM50-100,0-30,1.0
144a4d1f9fbbdacdf5e131c32ac9871b,dcclothing.official,Men Clothes,Pants,189.0,189.0,4.9,859.0,859.0,4500.0,0.0,RM100-300,30-1000,1.0
e9a17cd7b0c50f40c383e66bcfe1ee9d,mini_v_shop,Cameras & Drones,Camera Accessories,0.1,0.1,5.0,85.0,85.0,27.0,0.0,<RM20,30-1000,1.0
e1ff25c081285c43c5be5165406f15cd,nodesignerhere,Women's Bags,Tote Bags,76.0,65.0,5.0,41.0,41.0,79.0,14.473684210526317,RM50-100,30-1000,1.0
51856709f1001c7436653ecaa15b00a9,pediasure.os,Baby & Toys,Formula & Food,692.3,640.0,4.9,260.0,260.0,44.0,7.554528383648701,RM300+,30-1000,1.0
11820671469e812ad82a9c658e4558f7,huangxiaomei920.my,Men Clothes,Tops,109.48,65.69,4.5,33.0,33.0,189.0,39.99817318231641,RM50-100,30-1000,1.0
4b3046e5b44c0ab67cd46ac693113c7d,comfortsurf.mall,Sports & Outdoor,Exercise & Fitness Equipment,129.0,68.5,4.9,429.0,429.0,346.0,46.89922480620155,RM50-100,30-1000,1.0
b1223240ec12f637139156dcd182949b,fantastic.pro.empire,Baby & Toys,Feeding & Nursing,0.95,0.62,5.0,14700.0,14700.0,2000.0,34.73684210526316,<RM20,10000+,1.0
c1bf1f609a933ffc737fee3e300fc619,chintaeyesya,Women Clothes,Skirts,10.0,10.0,5.0,6800.0,6800.0,226.0,0.0,<RM20,5000-10000,1.0
f159f75279eaff390fc40d9b520ef8b9,koopers.os,Baby & Toys,Baby Gear,399.0,399.0,5.0,377.0,377.0,888.0,0.0,RM300+,30-1000,1.0
faba342abeeb7b3b0728ee34375555c1,clevermenmode.my,Men Clothes,Innerwear,44.13,44.13,4.9,75.0,75.0,404.0,0.0,RM20-50,30-1000,1.0
a442561590db7a20acdc1a7ff5da45d7,yusofexclusive,Others,Fengshui & Religious Supplies,150.0,119.0,5.0,535.0,535.0,2100.0,20.666666666666668,RM100-300,30-1000,1.0
